"Provincia";"CCAA";"Lat";"Long";"date";"confirmados";"fallecidos";"recuperados"
;"Castilla La Mancha";39,5;-3;2020-03-24;2465;216;53
;"Castilla y León";41,3833;-4,45;2020-03-24;2460;124;140
;"Cataluña";41,81;1,47;2020-03-24;7864;282;728
;"Ceuta";35,8866;-5,3;2020-03-24;6;0;0
;"C. Valenciana";39,5;-0,75;2020-03-24;2167;115;37
;"Extremadura";39,2;-6,15;2020-03-24;636;26;8
;"Galicia";42,75;-7,8833;2020-03-24;1415;20;19
;"Madrid";40,4188;-3,6919;2020-03-24;12352;1535;2291
;"Melilla";35,2825;-2,9475;2020-03-24;28;0;0
;"Murcia";38;-1,83333;2020-03-24;385;3;1
;"Navarra";42,8166;-1,65;2020-03-24;1014;31;11
;"País Vasco";42,9896;-2,6189;2020-03-24;2728;133;344
;"La Rioja";42,25;-2,5;2020-03-24;802;30;24
;"España";40;-4;2020-03-24;39673;2696;3794
;"Andalucía";37,46;-4,16;2020-03-25;3010;113;71
;"Aragón";41;-1;2020-03-25;907;40;4
;"Asturias";43,3333;-6;2020-03-25;779;25;35
;"Baleares";39,5;3;2020-03-25;562;13;28
;"Canarias";28,536;-15,749;2020-03-25;657;21;15
;"Cantabria";43,3333;-4;2020-03-25;510;14;12
;"Castilla La Mancha";39,5;-3;2020-03-25;2780;263;71
;"Castilla y León";41,3833;-4,45;2020-03-25;2940;165;213
;"Cataluña";41,81;1,47;2020-03-25;9937;516;1274
;"Ceuta";35,8866;-5,3;2020-03-25;9;0;0
;"C. Valenciana";39,5;-0,75;2020-03-25;2616;143;44
;"Extremadura";39,2;-6,15;2020-03-25;742;39;8
;"Galicia";42,75;-7,8833;2020-03-25;1653;27;25
;"Madrid";40,4188;-3,6919;2020-03-25;14597;1825;3031
;"Melilla";35,2825;-2,9475;2020-03-25;38;0;0
;"Murcia";38;-1,83333;2020-03-25;477;5;4
;"Navarra";42,8166;-1,65;2020-03-25;1197;33;23
;"País Vasco";42,9896;-2,6189;2020-03-25;3271;155;466
;"La Rioja";42,25;-2,5;2020-03-25;928;37;43
;"España";40;-4;2020-03-25;47610;3434;5367
;"Andalucía";37,46;-4,16;2020-03-26;3406;134;77
;"Aragón";41;-1;2020-03-26;1116;48;4
;"Asturias";43,3333;-6;2020-03-26;841;27;40
;"Baleares";39,5;3;2020-03-26;660;17;39
;"Canarias";28,536;-15,749;2020-03-26;784;24;18
;"Cantabria";43,3333;-4;2020-03-26;671;17;14
;"Castilla La Mancha";39,5;-3;2020-03-26;3383;316;95
;"Castilla y León";41,3833;-4,45;2020-03-26;3488;206;308
;"Cataluña";41,81;1,47;2020-03-26;11592;672;1697
;"Ceuta";35,8866;-5,3;2020-03-26;10;0;0
;"C. Valenciana";39,5;-0,75;2020-03-26;3200;167;57
;"Extremadura";39,2;-6,15;2020-03-26;969;58;24
;"Galicia";42,75;-7,8833;2020-03-26;1915;32;47
;"Madrid";40,4188;-3,6919;2020-03-26;17166;2090;3882
;"Melilla";35,2825;-2,9475;2020-03-26;39;1;0
;"Murcia";38;-1,83333;2020-03-26;596;8;9
;"Navarra";42,8166;-1,65;2020-03-26;1411;49;35
;"País Vasco";42,9896;-2,6189;2020-03-26;3946;180;621
;"La Rioja";42,25;-2,5;2020-03-26;995;43;48
;"España";40;-4;2020-03-26;56188;4089;7015
;"Andalucía";37,46;-4,16;2020-03-27;3793;144;92
;"Aragón";41;-1;2020-03-27;1338;58;8
;"Asturias";43,3333;-6;2020-03-27;900;29;52
;"Baleares";39,5;3;2020-03-27;755;22;67
;"Canarias";28,536;-15,749;2020-03-27;878;27;20
;"Cantabria";43,3333;-4;2020-03-27;810;21;19
;"Castilla La Mancha";39,5;-3;2020-03-27;3934;367;153
;"Castilla y León";41,3833;-4,45;2020-03-27;4132;252;423
;"Cataluña";41,81;1,47;2020-03-27;12940;880;2348
;"Ceuta";35,8866;-5,3;2020-03-27;17;0;0
;"C. Valenciana";39,5;-0,75;2020-03-27;3532;198;73
;"Extremadura";39,2;-6,15;2020-03-27;1231;69;33
;"Galicia";42,75;-7,8833;2020-03-27;2322;43;67
;"Madrid";40,4188;-3,6919;2020-03-27;19243;2412;5044
;"Melilla";35,2825;-2,9475;2020-03-27;42;1;0
;"Murcia";38;-1,83333;2020-03-27;714;15;12
;"Navarra";42,8166;-1,65;2020-03-27;1641;58;70
;"País Vasco";42,9896;-2,6189;2020-03-27;4601;207;814
;"La Rioja";42,25;-2,5;2020-03-27;1236;55;62
;"España";40;-4;2020-03-27;64059;4858;9357
;"Andalucía";37,46;-4,16;2020-03-28;4277;175;139
;"Aragón";41;-1;2020-03-28;1592;58;8
;"Asturias";43,3333;-6;2020-03-28;1004;33;65
;"Baleares";39,5;3;2020-03-28;862;26;80
;"Canarias";28,536;-15,749;2020-03-28;1025;36;25
;"Cantabria";43,3333;-4;2020-03-28;937;22;21
;"Castilla La Mancha";39,5;-3;2020-03-28;4512;448;197
;"Castilla y León";41,3833;-4,45;2020-03-28;4791;321;585
;"Cataluña";41,81;1,47;2020-03-28;14263;1070;3106
;"Ceuta";35,8866;-5,3;2020-03-28;17;1;0
;"C. Valenciana";39,5;-0,75;2020-03-28;4034;234;92
;"Extremadura";39,2;-6,15;2020-03-28;1394;88;49
;"Galicia";42,75;-7,8833;2020-03-28;2772;47;95
;"Madrid";40,4188;-3,6919;2020-03-28;21520;2757;6326
;"Melilla";35,2825;-2,9475;2020-03-28;45;1;0
;"Murcia";38;-1,83333;2020-03-28;802;17;12
;"Navarra";42,8166;-1,65;2020-03-28;1829;70;98
;"País Vasco";42,9896;-2,6189;2020-03-28;5136;221;1023
;"La Rioja";42,25;-2,5;2020-03-28;1436;65;364
;"España";40;-4;2020-03-28;72248;5690;12285
