"Provincia";"CCAA";"Lat";"Long";"date";"confirmados";"fallecidos";"recuperados"
;"Melilla";35,2825;-2,9475;2020-03-05;0;0;
;"Murcia";38;-1,83333;2020-03-05;0;0;
;"Navarra";42,8166;-1,65;2020-03-05;3;0;
;"País Vasco";42,9896;-2,6189;2020-03-05;17;1;
;"La Rioja";42,25;-2,5;2020-03-05;11;0;
;"Andalucía";37,46;-4,16;2020-03-06;21;0;
;"Aragón";41;-1;2020-03-06;6;1;
;"Asturias";43,3333;-6;2020-03-06;5;0;
;"Baleares";39,5;3;2020-03-06;6;0;
;"Canarias";28,536;-15,749;2020-03-06;11;0;
;"Cantabria";43,3333;-4;2020-03-06;10;0;
;"Castilla La Mancha";39,5;-3;2020-03-06;15;0;
;"Castilla y León";41,3833;-4,45;2020-03-06;14;0;
;"Cataluña";41,81;1,47;2020-03-06;24;0;
;"Ceuta";35,8866;-5,3;2020-03-06;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-06;30;1;
;"Extremadura";39,2;-6,15;2020-03-06;6;0;
;"Galicia";42,75;-7,8833;2020-03-06;3;0;
;"Madrid";40,4188;-3,6919;2020-03-06;137;2;
;"Melilla";35,2825;-2,9475;2020-03-06;0;0;
;"Murcia";38;-1,83333;2020-03-06;0;0;
;"Navarra";42,8166;-1,65;2020-03-06;3;0;
;"País Vasco";42,9896;-2,6189;2020-03-06;45;1;
;"La Rioja";42,25;-2,5;2020-03-06;29;0;
;"Andalucía";37,46;-4,16;2020-03-07;12;0;
;"Aragón";41;-1;2020-03-07;1;0;
;"Asturias";43,3333;-6;2020-03-07;5;0;
;"Baleares";39,5;3;2020-03-07;6;0;
;"Canarias";28,536;-15,749;2020-03-07;8;0;
;"Cantabria";43,3333;-4;2020-03-07;10;0;
;"Castilla La Mancha";39,5;-3;2020-03-07;13;0;
;"Castilla y León";41,3833;-4,45;2020-03-07;11;0;
;"Cataluña";41,81;1,47;2020-03-07;24;0;
;"Ceuta";35,8866;-5,3;2020-03-07;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-07;19;1;
;"Extremadura";39,2;-6,15;2020-03-07;6;0;
;"Galicia";42,75;-7,8833;2020-03-07;1;0;
;"Madrid";40,4188;-3,6919;2020-03-07;174;4;
;"Melilla";35,2825;-2,9475;2020-03-07;0;0;
;"Murcia";38;-1,83333;2020-03-07;0;0;
;"Navarra";42,8166;-1,65;2020-03-07;3;0;
;"País Vasco";42,9896;-2,6189;2020-03-07;17;1;
;"La Rioja";42,25;-2,5;2020-03-07;11;0;
;"Andalucía";37,46;-4,16;2020-03-08;12;0;
;"Aragón";41;-1;2020-03-08;1;0;
;"Asturias";43,3333;-6;2020-03-08;5;0;
;"Baleares";39,5;3;2020-03-08;6;0;
;"Canarias";28,536;-15,749;2020-03-08;8;0;
;"Cantabria";43,3333;-4;2020-03-08;10;0;
;"Castilla La Mancha";39,5;-3;2020-03-08;13;0;
;"Castilla y León";41,3833;-4,45;2020-03-08;11;0;
;"Cataluña";41,81;1,47;2020-03-08;24;0;
;"Ceuta";35,8866;-5,3;2020-03-08;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-08;19;1;
;"Extremadura";39,2;-6,15;2020-03-08;6;0;
;"Galicia";42,75;-7,8833;2020-03-08;1;0;
;"Madrid";40,4188;-3,6919;2020-03-08;202;8;
;"Melilla";35,2825;-2,9475;2020-03-08;0;0;
;"Murcia";38;-1,83333;2020-03-08;0;0;
;"Navarra";42,8166;-1,65;2020-03-08;3;0;
;"País Vasco";42,9896;-2,6189;2020-03-08;17;1;
;"La Rioja";42,25;-2,5;2020-03-08;11;0;
;"Andalucía";37,46;-4,16;2020-03-09;54;0;
;"Aragón";41;-1;2020-03-09;13;1;
;"Asturias";43,3333;-6;2020-03-09;7;0;
;"Baleares";39,5;3;2020-03-09;11;0;
;"Canarias";28,536;-15,749;2020-03-09;22;0;
;"Cantabria";43,3333;-4;2020-03-09;12;0;
;"Castilla La Mancha";39,5;-3;2020-03-09;26;0;
;"Castilla y León";41,3833;-4,45;2020-03-09;23;0;
;"Cataluña";41,81;1,47;2020-03-09;75;1;
;"Ceuta";35,8866;-5,3;2020-03-09;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-09;37;1;
;"Extremadura";39,2;-6,15;2020-03-09;7;0;
;"Galicia";42,75;-7,8833;2020-03-09;6;0;
;"Madrid";40,4188;-3,6919;2020-03-09;469;8;
;"Melilla";35,2825;-2,9475;2020-03-09;0;0;
;"Murcia";38;-1,83333;2020-03-09;4;0;
;"Navarra";42,8166;-1,65;2020-03-09;3;0;
;"País Vasco";42,9896;-2,6189;2020-03-09;149;5;
;"La Rioja";42,25;-2,5;2020-03-09;81;0;
;"Andalucía";37,46;-4,16;2020-03-10;71;0;
;"Aragón";41;-1;2020-03-10;38;3;
;"Asturias";43,3333;-6;2020-03-10;22;0;
;"Baleares";39,5;3;2020-03-10;13;0;
;"Canarias";28,536;-15,749;2020-03-10;25;0;
;"Cantabria";43,3333;-4;2020-03-10;12;0;
;"Castilla La Mancha";39,5;-3;2020-03-10;39;0;
;"Castilla y León";41,3833;-4,45;2020-03-10;56;0;
;"Cataluña";41,81;1,47;2020-03-10;124;3;
;"Ceuta";35,8866;-5,3;2020-03-10;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-10;50;1;
;"Extremadura";39,2;-6,15;2020-03-10;8;0;
;"Galicia";42,75;-7,8833;2020-03-10;22;0;
;"Madrid";40,4188;-3,6919;2020-03-10;782;21;
;"Melilla";35,2825;-2,9475;2020-03-10;0;0;
;"Murcia";38;-1,83333;2020-03-10;9;0;
;"Navarra";42,8166;-1,65;2020-03-10;12;0;
;"País Vasco";42,9896;-2,6189;2020-03-10;195;6;
;"La Rioja";42,25;-2,5;2020-03-10;144;1;
;"Andalucía";37,46;-4,16;2020-03-11;90;0;
;"Aragón";41;-1;2020-03-11;45;4;
;"Asturias";43,3333;-6;2020-03-11;32;0;
;"Baleares";39,5;3;2020-03-11;16;0;
;"Canarias";28,536;-15,749;2020-03-11;37;0;
;"Cantabria";43,3333;-4;2020-03-11;12;0;
;"Castilla La Mancha";39,5;-3;2020-03-11;71;0;
;"Castilla y León";41,3833;-4,45;2020-03-11;71;0;
;"Cataluña";41,81;1,47;2020-03-11;156;3;
;"Ceuta";35,8866;-5,3;2020-03-11;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-11;65;1;
;"Extremadura";39,2;-6,15;2020-03-11;9;0;
;"Galicia";42,75;-7,8833;2020-03-11;39;0;
;"Madrid";40,4188;-3,6919;2020-03-11;1024;31;
;"Melilla";35,2825;-2,9475;2020-03-11;0;0;
;"Murcia";38;-1,83333;2020-03-11;11;0;
;"Navarra";42,8166;-1,65;2020-03-11;46;0;
;"País Vasco";42,9896;-2,6189;2020-03-11;225;6;
;"La Rioja";42,25;-2,5;2020-03-11;179;2;
;"Andalucía";37,46;-4,16;2020-03-12;115;0;
;"Aragón";41;-1;2020-03-12;64;6;
;"Asturias";43,3333;-6;2020-03-12;47;1;
;"Baleares";39,5;3;2020-03-12;22;1;
;"Canarias";28,536;-15,749;2020-03-12;51;0;
;"Cantabria";43,3333;-4;2020-03-12;16;0;
;"Castilla La Mancha";39,5;-3;2020-03-12;115;1;
;"Castilla y León";41,3833;-4,45;2020-03-12;92;0;
;"Cataluña";41,81;1,47;2020-03-12;260;4;
;"Ceuta";35,8866;-5,3;2020-03-12;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-12;76;1;
;"Extremadura";39,2;-6,15;2020-03-12;19;1;
;"Galicia";42,75;-7,8833;2020-03-12;35;0;
;"Madrid";40,4188;-3,6919;2020-03-12;1388;56;
;"Melilla";35,2825;-2,9475;2020-03-12;0;0;
;"Murcia";38;-1,83333;2020-03-12;26;0;
;"Navarra";42,8166;-1,65;2020-03-12;73;0;
;"País Vasco";42,9896;-2,6189;2020-03-12;346;11;
;"La Rioja";42,25;-2,5;2020-03-12;205;2;
;"Andalucía";37,46;-4,16;2020-03-13;219;0;
;"Aragón";41;-1;2020-03-13;80;7;
;"Asturias";43,3333;-6;2020-03-13;67;1;
;"Baleares";39,5;3;2020-03-13;30;1;
;"Canarias";28,536;-15,749;2020-03-13;70;0;
;"Cantabria";43,3333;-4;2020-03-13;29;0;
;"Castilla La Mancha";39,5;-3;2020-03-13;194;5;
;"Castilla y León";41,3833;-4,45;2020-03-13;169;1;
;"Cataluña";41,81;1,47;2020-03-13;316;4;
;"Ceuta";35,8866;-5,3;2020-03-13;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-13;94;1;
;"Extremadura";39,2;-6,15;2020-03-13;39;1;
;"Galicia";42,75;-7,8833;2020-03-13;85;0;
;"Madrid";40,4188;-3,6919;2020-03-13;1990;81;
;"Melilla";35,2825;-2,9475;2020-03-13;2;0;
;"Murcia";38;-1,83333;2020-03-13;35;0;
;"Navarra";42,8166;-1,65;2020-03-13;130;0;
;"País Vasco";42,9896;-2,6189;2020-03-13;417;14;
;"La Rioja";42,25;-2,5;2020-03-13;243;2;
;"España";40;-4;2020-02-27;16;0;0
;"España";40;-4;2020-02-28;32;0;0
;"España";40;-4;2020-03-02;114;0;0
;"España";40;-4;2020-03-03;150;0;0
;"España";40;-4;2020-03-04;198;0;0
;"España";40;-4;2020-03-05;237;3;0
;"España";40;-4;2020-03-06;365;5;0
;"España";40;-4;2020-03-09;999;16;23
;"España";40;-4;2020-03-10;1622;35;135
;"España";40;-4;2020-03-11;2128;47;183
;"España";40;-4;2020-03-12;2950;84;189
;"España";40;-4;2020-03-13;4209;120;193
;"Andalucía";37,46;-4,16;2020-03-14;269;2;
;"Aragón";41;-1;2020-03-14;80;7;
;"Asturias";43,3333;-6;2020-03-14;92;1;
;"Baleares";39,5;3;2020-03-14;28;1;
;"Canarias";28,536;-15,749;2020-03-14;90;1;
;"Cantabria";43,3333;-4;2020-03-14;31;0;
;"Castilla La Mancha";39,5;-3;2020-03-14;289;6;
;"Castilla y León";41,3833;-4,45;2020-03-14;223;3;
;"Cataluña";41,81;1,47;2020-03-14;509;6;
;"Ceuta";35,8866;-5,3;2020-03-14;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-14;130;4;
;"Extremadura";39,2;-6,15;2020-03-14;66;2;
;"Galicia";42,75;-7,8833;2020-03-14;115;0;
;"Madrid";40,4188;-3,6919;2020-03-14;2940;86;
;"Melilla";35,2825;-2,9475;2020-03-14;3;0;
;"Murcia";38;-1,83333;2020-03-14;47;0;
;"Navarra";42,8166;-1,65;2020-03-14;146;0;
;"País Vasco";42,9896;-2,6189;2020-03-14;417;14;
;"La Rioja";42,25;-2,5;2020-03-14;278;3;
;"España";40;-4;2020-03-14;5753;136;193
;"Andalucía";37,46;-4,16;2020-03-15;437;6;
;"Aragón";41;-1;2020-03-15;147;7;
;"Asturias";43,3333;-6;2020-03-15;137;1;
;"Baleares";39,5;3;2020-03-15;28;1;
;"Canarias";28,536;-15,749;2020-03-15;109;1;
;"Cantabria";43,3333;-4;2020-03-15;51;0;
;"Castilla La Mancha";39,5;-3;2020-03-15;401;10;
;"Castilla y León";41,3833;-4,45;2020-03-15;292;6;
;"Cataluña";41,81;1,47;2020-03-15;715;8;
;"Ceuta";35,8866;-5,3;2020-03-15;1;0;
;"C. Valenciana";39,5;-0,75;2020-03-15;409;5;
;"Extremadura";39,2;-6,15;2020-03-15;95;2;
;"Galicia";42,75;-7,8833;2020-03-15;195;2;
;"Madrid";40,4188;-3,6919;2020-03-15;3544;213;
;"Melilla";35,2825;-2,9475;2020-03-15;8;0;
;"Murcia";38;-1,83333;2020-03-15;71;0;
;"Navarra";42,8166;-1,65;2020-03-15;183;0;
;"País Vasco";42,9896;-2,6189;2020-03-15;630;23;
;"La Rioja";42,25;-2,5;2020-03-15;300;3;
;"España";40;-4;2020-03-15;7753;288;193
;"Andalucía";37,46;-4,16;2020-03-16;554;7;
;"Aragón";41;-1;2020-03-16;174;11;
;"Asturias";43,3333;-6;2020-03-16;177;1;
;"Baleares";39,5;3;2020-03-16;73;1;
;"Canarias";28,536;-15,749;2020-03-16;119;1;
;"Cantabria";43,3333;-4;2020-03-16;58;0;
;"Castilla La Mancha";39,5;-3;2020-03-16;567;17;
;"Castilla y León";41,3833;-4,45;2020-03-16;334;9;
;"Cataluña";41,81;1,47;2020-03-16;903;12;
;"Ceuta";35,8866;-5,3;2020-03-16;1;0;
;"C. Valenciana";39,5;-0,75;2020-03-16;409;5;
;"Extremadura";39,2;-6,15;2020-03-16;111;2;
;"Galicia";42,75;-7,8833;2020-03-16;245;2;
;"Madrid";40,4188;-3,6919;2020-03-16;4165;213;
;"Melilla";35,2825;-2,9475;2020-03-16;8;0;
;"Murcia";38;-1,83333;2020-03-16;77;0;
;"Navarra";42,8166;-1,65;2020-03-16;274;1;
;"País Vasco";42,9896;-2,6189;2020-03-16;630;23;
;"La Rioja";42,25;-2,5;2020-03-16;312;4;
;"España";40;-4;2020-03-16;9191;309;530
;"Andalucía";37,46;-4,16;2020-03-17;683;11;
;"Aragón";41;-1;2020-03-17;207;12;
;"Asturias";43,3333;-6;2020-03-17;193;1;
;"Baleares";39,5;3;2020-03-17;92;1;
;"Canarias";28,536;-15,749;2020-03-17;148;2;
;"Cantabria";43,3333;-4;2020-03-17;58;0;
;"Castilla La Mancha";39,5;-3;2020-03-17;567;17;
;"Castilla y León";41,3833;-4,45;2020-03-17;431;12;
;"Cataluña";41,81;1,47;2020-03-17;1394;18;
;"Ceuta";35,8866;-5,3;2020-03-17;1;0;
;"C. Valenciana";39,5;-0,75;2020-03-17;541;13;
;"Extremadura";39,2;-6,15;2020-03-17;153;3;
;"Galicia";42,75;-7,8833;2020-03-17;292;3;
;"Madrid";40,4188;-3,6919;2020-03-17;4871;355;
;"Melilla";35,2825;-2,9475;2020-03-17;17;0;
;"Murcia";38;-1,83333;2020-03-17;97;0;
;"Navarra";42,8166;-1,65;2020-03-17;313;2;
;"País Vasco";42,9896;-2,6189;2020-03-17;765;36;
;"La Rioja";42,25;-2,5;2020-03-17;355;5;
;"España";40;-4;2020-03-17;11178;491;1028
;"Andalucía";37,46;-4,16;2020-03-18;859;19;
;"Aragón";41;-1;2020-03-18;226;13;
;"Asturias";43,3333;-6;2020-03-18;242;1;
;"Baleares";39,5;3;2020-03-18;112;1;
;"Canarias";28,536;-15,749;2020-03-18;181;3;
;"Cantabria";43,3333;-4;2020-03-18;68;1;
;"Castilla La Mancha";39,5;-3;2020-03-18;675;28;
;"Castilla y León";41,3833;-4,45;2020-03-18;668;22;
